agent_id,first_name,last_name,email,phone_number,office_location,region,specialization,secondary_specialization,experience_level,years_of_experience,hire_date,agency_type,license_number,active_clients,policy_conversion_rate,customer_satisfaction_score,annual_sales_target,ytd_sales,ytd_target_percentage,average_policy_value,commission_tier,training_completed,performance_rating,retention_rate,cross_sell_ratio
AG0001,Belinda,Morgan,nicolas30@example.net,245-411-4108x618,"South Amy, NE",Northeast,Auto,Multi-line,Senior,5,2020-05-31,Direct,LIC-44606-Gf,117,0.3,6.3,888227,802718,90.4,1449,D,False,Exceeds,0.92,1.7
AG0002,Hannah,Wagner,debbiewolfe@example.com,929-568-6073,"Morrisshire, AR",Midwest,Multi-line,Auto,Executive,6,2019-06-01,Corporate,LIC-02530-pq,68,0.77,9.9,978917,471908,48.2,4073,C,False,Below,0.93,2.0
AG0003,Teresa,Pierce,amandaperez@example.org,4762145763,"Adamview, PA",Midwest,Auto,High-value,Executive,8,2017-06-01,Corporate,LIC-03942-jM,102,0.78,8.9,693296,607467,87.6,2757,B,True,Exceeds,0.87,1.4
AG0004,Timothy,Rosales,justin38@example.com,879-454-6225x739,"Leemouth, MI",Midwest,Life,Auto,Mid-level,3,2022-05-31,Captive,LIC-65590-Eb,257,0.73,7.1,488139,261345,53.5,3609,A,False,Exceeds,0.94,2.0
AG0005,Robert,Burns,nbrown@example.com,(955)384-9845x498,"Port Nataliefurt, NJ",Southwest,Home,Auto,Executive,21,2004-06-04,Captive,LIC-52551-Jh,107,0.75,7.7,564812,537791,95.2,2451,B,False,Exceeds,0.91,0.6
AG0006,Adrienne,Duran,tara27@example.net,763-208-4627x2799,"South Stephen, PW",Midwest,Home,Life,Mid-level,9,2016-06-01,Captive,LIC-12022-Ho,67,0.75,9.4,590490,396753,67.2,2664,B,False,Exceeds,0.75,1.6
AG0007,Meghan,Gillespie,sullivandavid@example.org,331.740.5953,"Villanuevaport, MA",Southeast,Life,Health,Executive,9,2016-06-01,Captive,LIC-91511-wa,177,0.55,7.9,800472,405728,50.7,2501,C,True,Below,0.84,1.8
AG0008,Christopher,Carlson,mendezbrianna@example.com,495-358-8691x23709,"Lake Diamond, NJ",Midwest,Health,Small Business,Mid-level,11,2014-06-02,Independent,LIC-11418-MO,169,0.89,9.2,926806,942720,101.7,2736,C,True,Exceeds,0.87,1.3
AG0009,Christopher,Nichols,louis62@example.net,833.367.2530,"Port Lindaton, FM",Southeast,Auto,Commercial,Mid-level,16,2009-06-03,Captive,LIC-24710-CL,285,0.67,10.0,1122318,706830,63.0,3197,A,True,Exceeds,0.79,1.8
AG0010,Todd,Wilson,phillipmarshall@example.org,783.360.3717x45259,"North Ricardomouth, OR",West,High-value,Life,Mid-level,16,2009-06-03,Direct,LIC-90611-jP,152,0.8,8.9,511754,282767,55.3,1782,B,False,Exceeds,0.79,2.2
AG0011,Justin,Woods,mary59@example.net,397.423.0509x8723,"West Lawrenceville, KY",Northwest,High-value,Home,Mid-level,15,2010-06-03,Direct,LIC-86443-NP,231,0.52,8.5,893398,815274,91.3,4327,B,True,Below,0.91,1.3
AG0012,Steven,Long,kevin54@example.org,780-763-8773x687,"West Jacquelinechester, ND",Northwest,Small Business,Home,Executive,9,2016-06-01,Corporate,LIC-11307-YZ,106,0.67,8.4,463131,304819,65.8,1878,B,False,Below,0.82,2.7
AG0013,Melanie,Ray,anna42@example.com,874-863-0967x11208,"Carolstad, KS",Northwest,Health,High-value,Executive,15,2010-06-03,Corporate,LIC-07174-jI,110,0.7,8.3,1240785,1187513,95.7,2984,C,True,Below,0.83,1.4
AG0014,Kenneth,Warren,joshua31@example.com,803.828.7731x40312,"Lambfort, KY",West,High-value,Farm,Senior,9,2016-06-01,Independent,LIC-35005-BR,154,0.47,8.0,762370,764576,100.3,2281,D,True,Meets,0.81,1.8
AG0015,Anthony,Williamson,zgray@example.net,+1-513-943-4478x945,"New Shannonchester, VA",Northwest,Commercial,Auto,Executive,21,2004-06-04,Captive,LIC-46067-VF,64,0.67,8.8,1142092,460012,40.3,3274,A,False,Exceeds,0.83,1.0
AG0016,Mary,Curtis,yolandaarmstrong@example.org,597-384-6132x01162,"Stoneville, AK",Northeast,Commercial,High-value,Mid-level,9,2016-06-01,Corporate,LIC-08478-DL,100,0.4,8.9,874139,976324,111.7,3569,B,True,Below,0.75,2.1
AG0017,Ronald,White,barnold@example.com,2673974250,"North Justin, AR",Northwest,Small Business,Farm,Mid-level,9,2016-06-01,Corporate,LIC-32458-re,151,0.6,9.3,791948,931085,117.6,1903,A,False,Below,0.83,0.5
AG0018,Rebecca,Conrad,sarahpeck@example.org,(794)651-9556x7457,"Seanmouth, AK",Southeast,Commercial,High-value,Mid-level,7,2018-06-01,Direct,LIC-79393-LL,93,0.61,8.1,632986,725412,114.6,4250,C,False,Below,0.96,2.0
AG0019,Brenda,Gilbert,dlewis@example.com,+1-844-789-2130,"Smithmouth, LA",West,High-value,Commercial,Mid-level,4,2021-05-31,Direct,LIC-82814-ce,129,0.47,8.7,698238,530925,76.0,3483,B,True,Exceeds,0.86,1.3
AG0020,Samantha,Hays,nortonheather@example.org,001-903-415-2261x2827,"Moralesbury, KY",Southeast,Life,Commercial,Mid-level,16,2009-06-03,Independent,LIC-37522-TN,169,0.79,7.2,994371,619980,62.3,3373,B,True,Below,0.86,1.6
AG0021,Carolyn,Cabrera,priscillacurry@example.net,368-296-9992,"Jennaside, TX",West,Home,Health,Senior,8,2017-06-01,Independent,LIC-23886-BY,64,0.63,7.6,1058941,1034136,97.7,2803,B,True,Meets,0.8,1.5
AG0022,Jason,Horne,mirandachristopher@example.com,001-604-758-4421x853,"Susanshire, AL",Southeast,Auto,High-value,Executive,20,2005-06-04,Captive,LIC-15484-bZ,126,0.71,8.8,595453,524659,88.1,1536,C,True,Below,0.86,0.5
AG0023,Ryan,Hughes,gatesmichael@example.org,779-286-0028,"Brittanyburgh, ID",Northeast,Health,Multi-line,Mid-level,16,2009-06-03,Direct,LIC-33889-ww,110,0.61,7.6,1218488,1157504,95.0,4052,C,True,Exceeds,0.85,1.9
AG0024,Laura,Mcneil,delgadostacy@example.org,001-400-754-9641x28750,"South Patriciaview, MA",Midwest,Life,Multi-line,Executive,8,2017-06-01,Corporate,LIC-62502-sj,183,0.57,8.6,601228,524397,87.2,2114,A,True,Below,0.9,0.9
AG0025,Marissa,Johnson,dawncox@example.org,295-904-4253,"Fernandezfurt, IA",Midwest,Multi-line,Auto,Executive,16,2009-06-03,Independent,LIC-11295-nG,102,0.59,7.6,582240,561853,96.5,3135,B,True,Below,0.93,2.6
AG0026,Mary,Brown,chanson@example.org,362.456.9204,"West Georgestad, IA",Midwest,Health,Home,Mid-level,2,2023-05-31,Direct,LIC-05146-cR,67,0.59,7.7,613271,713580,116.4,2055,B,True,Below,0.86,1.6
AG0027,Gary,Wilson,abridges@example.org,+1-396-484-7710x60644,"Waltonfort, LA",West,Farm,Multi-line,Junior,18,2007-06-04,Captive,LIC-10132-mH,253,0.52,8.4,1155456,944966,81.8,1575,C,True,Exceeds,0.92,2.0
